"AGEGR","Group","Impute","est","se","n.all","n.impute","I2","IR.est","IR.lci","IR.uci"
"0-<3m","H",0,-5.52942908746747,1.00000002980233,3,0,"0.0",3.96825396842839,0.55896195515609,28.1719344450738
"0-<3m","L",0,-6.20570990227113,0.913149222324389,2,0,"54.9",2.01787580556703,0.336981549615225,12.0832216818462
"0-<3m","LM",0,-3.08874778212133,0.323305556890583,6,0,"49.9",45.558968454998,24.1752312111902,85.8572804765046
"0-<3m","UM",0,-2.58187241098459,0.492272343593078,5,0,"91.1",75.6322566914096,28.8188323520656,198.489591193492
"3-<6m","H",0,-5.52942908746747,1.00000002980233,3,0,"0.0",3.96825396842839,0.55896195515609,28.1719344450738
"3-<6m","L",0,-4.01410022061479,0.445188193230143,2,0,"75.6",18.0591965353089,7.54651750804311,43.2165669997212
"3-<6m","LM",0,-3.20375875027334,0.522041472668445,6,0,"85.6",40.609276620943,14.5966965918119,112.978531635805
"3-<6m","UM",0,-4.2596570950647,1.30597490944179,5,0,"94.6",14.1271458477301,1.09241119802489,182.693339434708
"0-<6m","H",0,-6.5687013841794,0.0375456045817404,3,0,"78.6",1.40361899094288,1.30403657291162,1.51080599475567
"0-<6m","L",0,-3.87952212358641,0.56789192158023,4,0,"92.1",20.6606960823356,6.78805866029295,62.8846013225548
"0-<6m","LM",0,-3.08329755605497,0.335234313486259,6,0,"81.8",45.807953027191,23.7456289301056,88.3686242515542
"0-<6m","UM",0,-2.97967932800683,0.604682338766869,5,0,"95.8",50.8091243159787,15.5319402814825,166.210213725479
"6-<12m","H",0,-4.37536157528165,0.416107938170506,3,0,"2.9",12.5835915041241,5.56680981050684,28.444797026081
"6-<12m","L",0,-4.3321814385799,0.81994304880145,4,0,"93.9",13.1388546012479,2.63395222344073,65.5401030802402
"6-<12m","LM",0,-3.58351893845599,0.144337566490857,7,0,"0.0",27.7777777777811,20.933164305681,36.860406148075
"6-<12m","UM",0,-4.6309016003519,0.75739658370632,5,0,"83.1",9.74596817165217,2.20859457554141,43.0064877704288
"0-<12m","H",0,-4.70687476578468,0.323293647616417,4,0,"36.7",9.03296364251695,4.7933280618415,17.0225010920045
"0-<12m","L",0,-3.93686849977028,0.610328925551965,4,0,"96.5",19.5092122913963,5.89816971584012,64.5300801041046
"0-<12m","LM",0,-3.30494325484344,0.213942215951357,7,0,"79.3",36.7012943979948,24.1307094622806,55.8203650246503
"0-<12m","UM",0,-3.47313715710398,0.609592572704788,5,0,"96.5",31.0195646103607,9.39160945392558,102.454578561521
"12-<60m","L",0,-6.60750271393653,1.70982379810749,2,0,"95.5",1.35019977778407,0.047311490766035,38.5326991479396
"12-<60m","LM",0,-4.81361267668963,0.513913587067837,3,0,"93.8",8.11847722153008,2.9649849947359,22.2293443351384
"0-<60m","H",0,-5.79190434592986,0.301050861866784,1,0,NA,3.05216426193119,1.69179694276046,5.50639763340022
"0-<60m","L",0,-5.33768397858257,1.14345939687897,2,0,"98.8",4.80699092193016,0.511141347477282,45.2069898816903
"0-<60m","LM",0,-4.27169550927131,0.28131803670289,3,0,"88.9",13.9580969960964,8.04198881598298,24.2264042154876
